strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
13000,30-Sep-2025,13000,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13000.00,2822,-802,-22.130242825607063,24344,12.86,226.5,74.75,49.25864909390445,29120,44800,140,223.05,140,228.0,13050.1,13000,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13000.00,4746,3054,180.4964539007092,26311,15.8,137.15,-89.94999999999999,-39.6081021576398,24640,60760,140,137.0,140,139.95,13050.1
13025,30-Sep-2025,13025,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13025.00,438,299,215.10791366906474,7288,13.03,209.95,69.19999999999999,49.16518650088809,6860,10360,140,208.95,140,213.05,13050.1,13025,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13025.00,812,776,2155.5555555555557,7569,16.0,151.4,-88.35,-36.85088633993743,8820,17920,280,147.05,280,151.5,13050.1
13050,30-Sep-2025,13050,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13050.00,1352,1209,845.4545454545455,14543,12.94,198.9,69.0,53.11778290993071,21000,54320,140,195.0,140,199.25,13050.1,13050,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13050.00,745,677,995.5882352941177,11362,15.93,160.0,-97.10000000000002,-37.76740567872424,12040,25480,280,157.75,420,162.0,13050.1
13075,30-Sep-2025,13075,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13075.00,408,319,358.4269662921348,5737,12.93,186.2,65.69999999999999,54.522821576763484,8120,26740,140,179.3,140,185.35,13050.1,13075,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13075.00,269,231,607.8947368421053,4854,15.78,169.55,-104.89999999999998,-38.221898342138815,7700,12460,280,169.25,280,173.0,13050.1
13100,30-Sep-2025,13100,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13100.00,2110,787,59.48601662887377,15698,13.05,170.0,60.150000000000006,54.75648611743287,17920,32060,560,167.0,280,173.5,13050.1,13100,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13100.00,810,643,385.02994011976045,9392,15.64,179.8,-105.44999999999999,-36.96757230499561,12040,23240,280,179.75,140,184.4,13050.1
13125,30-Sep-2025,13125,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13125.00,119,119,0.0,1197,13.06,153.7,-703.8499999999999,-82.07684683108856,5600,8260,280,153.45,280,158.65,13050.1,13125,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13125.00,91,83,1037.5,1384,15.99,196.45,-148.65000000000003,-43.07447116777746,4340,7700,140,192.5,140,197.6,13050.1
13150,30-Sep-2025,13150,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13150.00,392,305,350.57471264367814,3494,12.92,146.45,54.499999999999986,59.27134312126153,9800,26040,280,144.0,140,146.45,13050.1,13150,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13150.00,194,185,2055.5555555555557,1469,15.71,209.8,-125.55000000000001,-37.438497092589834,2660,5460,140,204.15,140,210.5,13050.1
13175,30-Sep-2025,13175,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13175.00,154,31,25.203252032520325,2074,13.0,133.7,51.349999999999994,62.355798421372185,5040,7280,280,129.15,280,134.05,13050.1,13175,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13175.00,37,30,428.57142857142856,572,15.72,219.6,-135.35,-38.13213128609663,1960,5460,140,218.05,140,223.55,13050.1
13200,30-Sep-2025,13200,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13200.00,2843,-786,-21.658859189859466,17426,12.99,122.85,46.3,60.4833442194644,39060,36540,280,119.9,280,122.75,13050.1,13200,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13200.00,451,193,74.8062015503876,2163,15.64,232.55,-124.64999999999998,-34.89641657334826,7420,10360,140,231.95,420,236.0,13050.1
13225,30-Sep-2025,13225,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025CE13225.00,0,0,0.0,0,0.0,0.0,0.0,0.0,140,5880,140,0.05,280,127.4,13050.1,13225,30-Sep-2025,MIDCPNIFTY,OPTIDXMIDCPNIFTY30-09-2025PE13225.00,32,32,0.0,114,15.74,248.25,-262.3,-51.37596709431006,700,3360,140,241.5,140,255.15,13050.1
