strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
52000,30-Sep-2025,52000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52000.00,2510.0,5,0.1996007984031936,19,0.0,2700.0,192.80000000000018,7.689853222718579,9100,9835,140,2679.2,105,2696.25,54467.25,52000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52000.00,17192.0,93.0,0.5438914556406808,3205,13.71,38.55,-13.450000000000003,-25.865384615384624,37835,10990,105,38.45,105,38.55,54467.25
52100,30-Sep-2025,52100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52100.00,17.0,0,0.0,0,0.0,0.0,0.0,0.0,6335,5600,140,2539.4,35,2631.55,54467.25,52100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52100.00,1235.0,2.0,0.16220600162206,93,13.62,41.45,-15.0,-26.57218777679362,14525,6370,35,41.2,35,42.15,54467.25
52200,30-Sep-2025,52200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52200.00,51.0,0,0.0,0,0.0,0.0,0.0,0.0,6370,5670,35,2443.05,35,2538.65,54467.25,52200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52200.00,1282.0,-10.0,-0.7739938080495357,244,13.37,45.25,-16.299999999999997,-26.482534524776604,12215,5635,35,45.25,70,45.6,54467.25
52300,30-Sep-2025,52300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52300.00,16.0,0,0.0,0,0.0,0.0,0.0,0.0,6405,5705,140,2347.35,35,2444.4,54467.25,52300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52300.00,3028.0,-1.0,-0.03301419610432486,284,13.22,49.15,-18.1,-26.91449814126394,12915,6090,35,48.7,35,49.45,54467.25
52400,30-Sep-2025,52400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52400.00,11.0,0,0.0,0,0.0,0.0,0.0,0.0,6300,5670,140,2253.3,35,2351.15,54467.25,52400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52400.00,1631.0,51.0,3.2278481012658227,245,13.11,54.7,-19.450000000000003,-26.23061362103844,8715,5915,105,54.6,35,54.9,54467.25
52500,30-Sep-2025,52500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52500.00,784.4285714285714,4,0.5125388980413692,11,0.0,2195.4,156.05000000000018,7.651947924583823,10080,8995,140,2201.5,70,2217.7,54467.25,52500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52500.00,19956.0,117.0,0.5897474671102374,3731,12.96,59.45,-21.950000000000003,-26.965601965601966,20020,8960,70,59.6,385,59.8,54467.25
52600,30-Sep-2025,52600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52600.00,42.0,0,0.0,0,0.0,0.0,0.0,0.0,7105,5880,140,2065.7,35,2166.1,54467.25,52600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52600.00,2303.0,-10.0,-0.43233895373973197,499,12.93,66.0,-24.150000000000006,-26.78868552412646,5845,5215,105,66.0,35,66.4,54467.25
52700,30-Sep-2025,52700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52700.00,25.0,0,0.0,3,0.0,2070.55,-29.449999999999818,-1.4023809523809436,7210,6685,35,2012.8,70,2039.7,54467.25,52700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52700.00,3114.0,80.0,2.6367831245880025,606,12.76,73.25,-26.25,-26.38190954773869,9345,7035,350,73.05,70,73.4,54467.25
52800,30-Sep-2025,52800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52800.00,37.0,0,0.0,0,0.0,0.0,0.0,0.0,6545,5810,140,1880.85,35,1980.35,54467.25,52800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52800.00,4346.0,37.0,0.8586679043861685,505,12.62,80.35,-28.900000000000006,-26.453089244851263,8435,7245,70,80.9,35,81.15,54467.25
52900,30-Sep-2025,52900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE52900.00,69.0,0,0.0,0,0.0,0.0,0.0,0.0,6440,6230,70,1790.55,210,1892.2,54467.25,52900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE52900.00,2400.0,80.0,3.4482758620689653,1105,12.57,90.0,-31.599999999999994,-25.986842105263154,12530,17815,35,89.6,70,89.95,54467.25
