strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
25550,30-Sep-2025,25550,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25550.00,59,-1,-1.6666666666666667,4,14.28,813.35,197.80000000000007,32.133864024043554,3120,1430,65,667.2,130,830.95,26125.55,25550,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25550.00,162,-294,-64.47368421052632,714,12.31,66.35,-31.55000000000001,-32.22676200204291,3185,1560,65,58.15,260,77.35,26125.55
25600,30-Sep-2025,25600,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25600.00,168,-2,-1.1764705882352942,6,0.0,675.0,98.35000000000002,17.055406225613464,2795,1040,130,468.7,130,801.45,26125.55,25600,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25600.00,283,20,7.604562737642586,278,12.1,71.85,-38.650000000000006,-34.97737556561086,3250,1235,65,68.7,65,77.95,26125.55
25650,30-Sep-2025,25650,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25650.00,125,0,0.0,10,9.96,663.7,125.20000000000005,23.249767873723314,2925,1430,130,425.35,260,863.05,26125.55,25650,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25650.00,209,3,1.4563106796116505,71,11.94,78.95,-43.8,-35.682281059063136,2860,780,65,75.6,130,93.75,26125.55
25700,30-Sep-2025,25700,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25700.00,525,-17,-3.1365313653136533,37,10.83,636.2,131.95000000000005,26.16757560733764,1365,1235,65,571.8,65,706.5,26125.55,25700,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25700.00,676,-37,-5.189340813464236,484,11.98,90.0,-43.75,-32.71028037383177,2470,2535,65,85.4,130,95.95,26125.55
25750,30-Sep-2025,25750,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25750.00,72,-1,-1.36986301369863,9,12.36,625.0,154.64999999999998,32.87977038375677,130,390,130,227.1,130,645.35,26125.55,25750,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25750.00,165,-15,-8.333333333333334,187,11.73,101.0,-47.69999999999999,-32.07800941492938,3120,3705,65,92.65,260,112.8,26125.55
25800,30-Sep-2025,25800,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25800.00,439,-22,-4.772234273318872,67,10.42,551.0,120.69999999999999,28.05019753660237,2470,2405,260,490.8,260,563.25,26125.55,25800,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25800.00,543,45,9.036144578313253,557,11.73,109.4,-54.29999999999998,-33.170433720219904,3900,2990,65,105.35,260,121.85,26125.55
25850,30-Sep-2025,25850,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25850.00,91,-4,-4.2105263157894735,13,9.98,505.0,107.80000000000001,27.139979859013096,1430,1430,130,453.95,130,556.85,26125.55,25850,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25850.00,168,-26,-13.402061855670103,203,11.71,122.35,-57.5,-31.971087016958577,1755,1625,260,114.1,260,153.75,26125.55
25900,30-Sep-2025,25900,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25900.00,219,-86,-28.19672131147541,392,10.74,445.0,78.14999999999998,21.302984871200756,4420,2210,780,445.05,260,487.75,26125.55,25900,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25900.00,723,398,122.46153846153847,1402,11.52,133.15,-65.19999999999999,-32.87118729518527,3965,3250,260,126.45,65,138.0,26125.55
25950,30-Sep-2025,25950,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE25950.00,133,-209,-61.111111111111114,590,10.41,442.3,108.19999999999999,32.38551331936546,2340,2210,260,386.45,260,448.6,26125.55,25950,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE25950.00,225,37,19.680851063829788,861,11.2,142.0,-75.9,-34.83249196879303,4030,2665,65,149.1,130,158.85,26125.55
26000,30-Sep-2025,26000,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025CE26000.00,1037,-395,-27.583798882681563,2111,9.61,391.1,85.40000000000003,27.935884854432462,3705,5785,65,380.0,260,408.05,26125.55,26000,30-Sep-2025,FINNIFTY,OPTIDXFINNIFTY30-09-2025PE26000.00,1350,-121,-8.22569680489463,4817,11.27,160.4,-77.94999999999999,-32.70400671281728,5915,9815,65,162.4,65,168.05,26125.55
