strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
23750,16-Sep-2025,23750,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE23750.00,33,1,3.125,10,0.0,1252.65,92.45000000000005,7.968453714876748,5100,3675,75,1222.2,75,1281.7,24979.1,23750,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE23750.00,9684,6933,252.01744820065431,57705,18.68,3.1,-0.10000000000000009,-3.1250000000000027,63000,46050,1125,3.0,450,3.1,24979.1
23800,16-Sep-2025,23800,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE23800.00,92,1,1.098901098901099,32,0.0,1209.55,112.20000000000005,10.224632068164219,4650,3375,150,1226.95,300,1250.05,24979.1,23800,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE23800.00,43294,15039,53.2259777030614,231922,18.11,3.2,-0.2999999999999998,-8.571428571428566,79425,69375,3000,3.1,1425,3.25,24979.1
23850,16-Sep-2025,23850,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE23850.00,10,0,0.0,0,0.0,0.0,0.0,0.0,4725,2925,300,1120.2,300,1227.8,24979.1,23850,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE23850.00,8440,5249,164.49388906298967,61563,17.64,3.4,-0.3500000000000001,-9.333333333333336,80100,14100,3675,3.3,1350,3.4,24979.1
23900,16-Sep-2025,23900,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE23900.00,40,0,0.0,4,0.0,1125.0,121.89999999999998,12.152327783870001,3900,3450,75,1127.85,75,1132.35,24979.1,23900,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE23900.00,27101,4362,19.182901622762653,182157,17.05,3.4,-0.6999999999999997,-17.073170731707314,67125,71850,1800,3.4,900,3.5,24979.1
23950,16-Sep-2025,23950,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE23950.00,4,0,0.0,0,0.0,0.0,0.0,0.0,5025,3075,150,1024.65,300,1120.65,24979.1,23950,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE23950.00,7282,925,14.550888784017618,86811,16.56,3.6,-0.8000000000000003,-18.181818181818183,61950,16800,900,3.7,1725,3.75,24979.1
24000,16-Sep-2025,24000,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24000.00,2687,-12,-0.444609114486847,1656,0.0,1036.4,139.1500000000001,15.508498188910568,64275,9000,450,1027.65,600,1036.2,24979.1,24000,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24000.00,132691,71586,117.15244251697897,561490,16.01,4.0,-1.0999999999999996,-21.568627450980387,297675,153825,1500,3.95,900,4.05,24979.1
24050,16-Sep-2025,24050,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24050.00,12,0,0.0,0,0.0,0.0,0.0,0.0,3675,2775,150,942.15,150,1028.65,24979.1,24050,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24050.00,9635,4701,95.27766518038104,100702,15.47,4.15,-1.3499999999999996,-24.54545454545454,62925,24300,1650,4.1,1725,4.25,24979.1
24100,16-Sep-2025,24100,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24100.00,327,-184,-36.007827788649706,594,16.5,926.65,123.10000000000002,15.319519631634627,4950,3900,75,930.75,75,935.65,24979.1,24100,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24100.00,42906,17560,69.2811488992346,342626,14.92,4.3,-1.7999999999999998,-29.508196721311474,117900,46950,2400,4.35,2025,4.5,24979.1
24150,16-Sep-2025,24150,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24150.00,66,47,247.3684210526316,119,17.33,881.65,126.44999999999993,16.743908898305072,4500,3300,150,881.5,75,886.45,24979.1,24150,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24150.00,14859,6099,69.62328767123287,137424,14.31,4.75,-2.2,-31.654676258992808,106725,27900,900,4.6,750,4.75,24979.1
24200,16-Sep-2025,24200,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24200.00,858,2,0.2336448598130841,551,15.73,829.0,124.60000000000002,17.68881317433277,5175,5325,75,831.55,75,834.85,24979.1,24200,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24200.00,56242,25348,82.04829416715219,383600,13.79,5.05,-3.05,-37.65432098765432,128400,159975,900,5.0,1650,5.15,24979.1
24250,16-Sep-2025,24250,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24250.00,113,53,88.33333333333333,164,14.31,777.1,125.70000000000005,19.296898986797675,5100,3525,150,782.6,75,786.85,24979.1,24250,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24250.00,18339,10119,123.10218978102189,141255,13.32,5.55,-3.6000000000000005,-39.344262295081975,216825,30900,750,5.45,1350,5.6,24979.1
24300,16-Sep-2025,24300,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24300.00,1079,-84,-7.222699914015477,1239,16.23,736.0,129.70000000000005,21.392050140194634,7875,7125,75,732.55,75,736.7,24979.1,24300,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24300.00,60380,27696,84.73871007220659,322320,12.67,5.9,-4.949999999999999,-45.6221198156682,154500,98475,1575,5.85,900,6.05,24979.1
24350,16-Sep-2025,24350,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24350.00,126,31,32.63157894736842,240,13.0,678.0,120.25,21.559838637382338,4800,4200,225,683.65,75,688.1,24979.1,24350,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24350.00,16483,7561,84.74557274153777,127332,12.27,6.65,-6.35,-48.84615384615385,96375,48150,525,6.65,600,6.75,24979.1
24400,16-Sep-2025,24400,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025CE24400.00,1431,-245,-14.618138424821002,3036,14.11,636.0,124.05000000000001,24.230881922062704,28425,6900,150,634.7,75,637.7,24979.1,24400,16-Sep-2025,NIFTY,OPTIDXNIFTY16-09-2025PE24400.00,46939,22186,89.6295398537551,326074,11.85,7.65,-8.2,-51.73501577287066,126750,145125,600,7.55,750,7.7,24979.1
