strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
25600,09-Sep-2025,25600,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25600.00,95809,4070,4.436499198814027,655474,17.19,0.05,-0.85,-94.44444444444444,0,1536375,0,0.0,1324875,0.05,24868.6,25600,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25600.00,156,-55,-26.066350710900473,263,37.26,732.0,-69.95000000000005,-8.722488933225268,28650,6900,300,729.05,75,732.6,24868.6
25650,09-Sep-2025,25650,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25650.00,25808,9580,59.03376879467587,328996,18.28,0.05,-0.75,-93.75,0,349875,0,0.0,154125,0.05,24868.6,25650,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25650.00,11,-3,-21.428571428571427,16,39.68,782.85,-62.14999999999998,-7.355029585798814,25875,8100,150,777.25,300,786.25,24868.6
25700,09-Sep-2025,25700,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25700.00,46762,-7221,-13.376433321601246,455553,19.36,0.05,-0.7,-93.33333333333333,0,1019850,0,0.0,841200,0.05,24868.6,25700,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25700.00,39,-97,-71.32352941176471,150,41.14,832.0,-62.75,-7.01313215982118,28125,8175,75,829.85,75,832.75,24868.6
25750,09-Sep-2025,25750,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25750.00,18796,9450,101.11277551893858,257798,20.43,0.05,-0.6499999999999999,-92.85714285714285,0,287250,0,0.0,122325,0.05,24868.6,25750,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25750.00,9,2,28.571428571428573,14,53.92,905.05,-24.950000000000045,-2.682795698924736,23250,7650,300,876.45,300,887.05,24868.6
25800,09-Sep-2025,25800,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25800.00,52932,-5711,-9.738587725730266,419212,21.49,0.05,-0.6499999999999999,-92.85714285714285,0,642150,0,0.0,397275,0.05,24868.6,25800,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25800.00,61,-21,-25.609756097560975,154,46.01,933.8,-53.35000000000002,-5.404447145823839,20100,8625,75,929.65,75,932.9,24868.6
25850,09-Sep-2025,25850,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25850.00,34902,17035,95.34337045950635,230664,22.55,0.05,-0.5499999999999999,-91.66666666666666,0,1065825,0,0.0,849375,0.05,24868.6,25850,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25850.00,5,-1,-16.666666666666668,24,57.35,1002.95,-63.5,-5.95433447419007,19350,6600,600,976.4,300,985.15,24868.6
25900,09-Sep-2025,25900,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25900.00,26687,-731,-2.6661317382741263,246880,23.6,0.05,-0.5499999999999999,-91.66666666666666,0,395100,0,0.0,282225,0.05,24868.6,25900,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25900.00,44,-17,-27.868852459016395,62,49.29,1033.0,-47.84999999999991,-4.427071286487479,19350,9000,600,1026.4,300,1059.65,24868.6
25950,09-Sep-2025,25950,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE25950.00,10598,2125,25.079664817656084,146476,24.65,0.05,-0.5,-90.9090909090909,0,123750,0,0.0,30975,0.05,24868.6,25950,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE25950.00,3,1,50.0,20,52.72,1085.55,-21.75,-1.9642373340558115,6300,4800,150,968.75,300,1136.35,24868.6
26000,09-Sep-2025,26000,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE26000.00,86181,-8584,-9.058196591568617,656356,25.69,0.05,-0.45,-90.0,0,417825,0,0.0,175950,0.05,24868.6,26000,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE26000.00,242,-297,-55.10204081632653,597,52.27,1131.95,-59.200000000000045,-4.9699869873651545,13950,6300,75,1129.3,75,1133.1,24868.6
26050,09-Sep-2025,26050,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE26050.00,13302,436,3.3887766205502876,107282,26.73,0.05,-0.45,-90.0,0,108750,0,0.0,22200,0.05,24868.6,26050,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE26050.00,5,0,0.0,0,0.0,1429.85,0.0,0.0,6000,9000,150,1011.0,300,1241.55,24868.6
26100,09-Sep-2025,26100,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025CE26100.00,19135,-3135,-14.07723394701392,193392,27.76,0.05,-0.45,-90.0,0,192675,0,0.0,76125,0.05,24868.6,26100,09-Sep-2025,NIFTY,OPTIDXNIFTY09-09-2025PE26100.00,4,0,0.0,0,0.0,1488.95,0.0,0.0,5850,8325,150,1144.6,225,1282.65,24868.6
