strikePrice,expiryDate,CE_strikePrice,CE_expiryDate,CE_underlying,CE_identifier,CE_openInterest,CE_changeinOpenInterest,CE_pchangeinOpenInterest,CE_totalTradedVolume,CE_impliedVolatility,CE_lastPrice,CE_change,CE_pChange,CE_totalBuyQuantity,CE_totalSellQuantity,CE_bidQty,CE_bidprice,CE_askQty,CE_askPrice,CE_underlyingValue,PE_strikePrice,PE_expiryDate,PE_underlying,PE_identifier,PE_openInterest,PE_changeinOpenInterest,PE_pchangeinOpenInterest,PE_totalTradedVolume,PE_impliedVolatility,PE_lastPrice,PE_change,PE_pChange,PE_totalBuyQuantity,PE_totalSellQuantity,PE_bidQty,PE_bidprice,PE_askQty,PE_askPrice,PE_underlyingValue
54800,30-Sep-2025,54800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE54800.00,6414.0,1739.0,37.19786096256684,53819,9.94,524.4,130.04999999999995,32.97831875237732,13020,26810,35,524.6,280,526.8,54536.65,54800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE54800.00,4602.0,2776.0,152.026286966046,42093,10.72,527.4,-198.35000000000002,-27.330347915949023,14665,15365,105,525.0,70,527.4,54536.65
54900,30-Sep-2025,54900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE54900.00,4765.0,1247.0,35.4462762933485,36698,10.01,474.15,119.75,33.78950338600452,11690,18900,175,474.0,70,476.0,54536.65,54900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE54900.00,3578.0,264.0,7.966203983101992,24134,10.62,575.3,-212.05000000000007,-26.932114053470514,9555,9905,70,572.8,140,577.0,54536.65
55000,30-Sep-2025,55000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55000.00,37202.0,-3536.0,-8.679856644901566,139236,9.93,429.0,111.85000000000002,35.267223711177685,38500,89285,35,427.0,525,429.0,54536.65,55000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55000.00,23677.0,1015.0,4.478863295384344,41673,10.64,630.9,-219.55000000000007,-25.815744605796937,44695,20930,35,627.95,35,630.4,54536.65
55100,30-Sep-2025,55100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55100.00,3333.0,-140.0,-4.031097034264325,21832,9.92,378.0,94.85000000000002,33.4981458590853,10990,17955,140,381.8,140,384.8,54536.65,55100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55100.00,1175.0,228.0,24.076029567053855,3401,10.58,681.1,-227.14999999999998,-25.009633911368013,18410,7245,105,681.0,35,691.1,54536.65
55200,30-Sep-2025,55200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55200.00,5508.0,-216.0,-3.7735849056603774,30433,9.85,340.55,89.5,35.65026887074288,11515,21385,385,340.55,280,343.0,54536.65,55200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55200.00,2776.0,1645.0,145.44650751547303,6184,10.47,735.0,-247.95000000000005,-25.225087746070507,5810,9765,140,739.95,140,747.35,54536.65
55300,30-Sep-2025,55300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55300.00,4881.0,-239.0,-4.66796875,25671,9.8,303.45,80.79999999999998,36.2901414776555,8645,17360,35,303.05,35,306.2,54536.65,55300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55300.00,889.0,13.0,1.4840182648401827,2830,10.57,802.0,-252.1500000000001,-23.919745766731495,3745,6895,280,795.2,35,807.95,54536.65
55400,30-Sep-2025,55400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55400.00,3762.0,343.0,10.032173150043873,21592,9.78,271.2,74.89999999999998,38.15588385124807,9520,17920,105,268.9,140,270.9,54536.65,55400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55400.00,598.0,89.0,17.4852652259332,1539,10.51,864.1,-268.65,-23.716618847936434,7350,7700,140,858.15,140,874.05,54536.65
55500,30-Sep-2025,55500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55500.00,23539.571428571428,-1699.142857142857,-6.732287698603619,93632,9.79,237.3,64.95000000000002,37.68494342906877,27650,69055,35,236.55,140,238.6,54536.65,55500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55500.00,8351.714285714286,332.0,4.139798354056076,6048,10.55,933.4,-262.2500000000001,-21.933676243047724,10710,8505,140,933.65,140,940.1,54536.65
55600,30-Sep-2025,55600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55600.00,4466.0,668.0,17.58820431806214,20288,9.79,210.1,58.349999999999994,38.45140032948929,7595,18095,70,208.65,140,209.95,54536.65,55600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55600.00,664.0,38.0,6.0702875399361025,448,10.53,1002.65,-279.9,-21.823710576585707,9625,5880,140,1001.65,35,1017.15,54536.65
55700,30-Sep-2025,55700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55700.00,3708.0,-398.0,-9.693132001948369,18733,9.81,184.7,50.75,37.88727136991415,8050,11550,140,183.3,35,184.6,54536.65,55700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55700.00,536.0,-4.0,-0.7407407407407407,283,10.69,1082.05,-276.10000000000014,-20.329124176269197,13335,6090,140,1052.7,70,1101.55,54536.65
55800,30-Sep-2025,55800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55800.00,5223.0,-319.0,-5.7560447491880185,20123,9.72,160.0,42.900000000000006,36.63535439795048,6440,14105,210,159.6,35,161.25,54536.65,55800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55800.00,608.0,-16.0,-2.5641025641025643,125,10.7,1156.7,-287.79999999999995,-19.923849082727585,9485,5565,140,1130.3,70,1169.25,54536.65
55900,30-Sep-2025,55900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE55900.00,3184.0,-170.0,-5.068574836016697,11743,9.8,142.0,39.8,38.94324853228962,5915,6825,175,139.75,35,141.0,54536.65,55900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE55900.00,374.0,10.0,2.7472527472527473,47,10.66,1232.1,-287.75,-18.932789420008554,10325,6405,35,1226.7,35,1240.5,54536.65
56000,30-Sep-2025,56000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56000.00,36588.0,-1825.0,-4.750995756644886,98198,9.76,122.6,33.14999999999999,37.05980994969256,48790,118510,35,122.0,70,122.5,54536.65,56000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56000.00,11432.0,-137.0,-1.184199152908635,2677,11.0,1323.25,-286.95000000000005,-17.82076760650851,23345,8365,35,1313.1,140,1323.45,54536.65
56100,30-Sep-2025,56100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56100.00,2793.0,600.0,27.359781121751027,17545,9.81,105.85,27.349999999999994,34.84076433121018,9380,10570,70,105.25,35,106.5,54536.65,56100,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56100.00,394.0,4.0,1.0256410256410255,68,10.59,1389.25,-311.8499999999999,-18.332255599318085,5845,6090,105,1390.7,35,1404.7,54536.65
56200,30-Sep-2025,56200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56200.00,4053.0,621.0,18.094405594405593,16730,9.75,90.75,22.450000000000003,32.869692532942906,42350,8995,70,90.75,70,92.95,54536.65,56200,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56200.00,262.0,-53.0,-16.825396825396826,106,10.83,1480.0,-320.3499999999999,-17.793762323992553,5740,6055,280,1474.8,35,1490.5,54536.65
56300,30-Sep-2025,56300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56300.00,2484.0,-50.0,-1.973164956590371,14114,9.86,80.6,20.599999999999994,34.33333333333332,15120,10885,1820,78.15,245,83.0,54536.65,56300,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56300.00,281.0,24.0,9.33852140077821,80,12.62,1622.1,-252.9000000000001,-13.488000000000005,5600,6440,35,1539.7,35,1577.7,54536.65
56400,30-Sep-2025,56400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56400.00,1779.0,-288.0,-13.933236574746008,8092,9.9,68.6,16.249999999999993,31.041069723018133,13160,7385,35,68.4,70,73.0,54536.65,56400,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56400.00,130.0,1.0,0.7751937984496124,9,11.46,1667.9,-345.1999999999998,-17.147682678456107,3640,5355,105,1650.95,35,1666.35,54536.65
56500,30-Sep-2025,56500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56500.00,20336.0,-29.0,-0.14240117849251166,37397,9.99,61.4,15.449999999999996,33.62350380848748,39130,38290,35,58.5,175,61.35,54536.65,56500,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56500.00,3359.0,119.0,3.6728395061728394,464,11.68,1759.85,-302.8000000000002,-14.680144474341269,6265,6300,35,1742.25,140,1761.0,54536.65
56600,30-Sep-2025,56600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56600.00,2240.0,-78.0,-3.364969801553063,7686,9.96,51.85,11.450000000000003,28.34158415841585,16030,7105,35,51.6,70,53.85,54536.65,56600,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56600.00,224.0,-82.0,-26.797385620915033,142,11.94,1853.6,-353.4000000000001,-16.01268690530132,6370,6440,105,1834.25,210,1854.9,54536.65
56700,30-Sep-2025,56700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56700.00,2315.0,120.0,5.466970387243736,5708,10.12,46.85,10.899999999999999,30.319888734353263,15855,8400,70,43.95,665,47.0,54536.65,56700,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56700.00,195.0,-1.0,-0.5102040816326531,2,15.42,2045.1,-225.1500000000001,-9.917409976874797,3850,5250,35,1860.3,70,1961.65,54536.65
56800,30-Sep-2025,56800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56800.00,1915.0,221.0,13.046044864226682,6166,10.1,39.35,8.05,25.718849840255594,17675,5565,70,39.4,105,41.95,54536.65,56800,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56800.00,162.0,0.0,0.0,3,10.48,1999.3,-268.04999999999995,-11.82217125719452,5110,5180,280,2008.85,105,2048.1,54536.65
56900,30-Sep-2025,56900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE56900.00,2061.0,90.0,4.566210045662101,4503,10.12,33.6,5.850000000000001,21.081081081081084,13545,4095,175,33.6,70,36.35,54536.65,56900,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE56900.00,78.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4795,4935,140,2003.5,140,2285.6,54536.65
57000,30-Sep-2025,57000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025CE57000.00,53016.142857142855,-820.4285714285714,-1.523924257541342,56554,10.17,29.7,5.149999999999999,20.97759674134419,73710,101605,140,28.7,105,29.9,54536.65,57000,30-Sep-2025,BANKNIFTY,OPTIDXBANKNIFTY30-09-2025PE57000.00,29754.85714285714,-239.0,-0.7968298270598265,1233,12.13,2214.6,-316.7000000000003,-12.511357800339756,7210,182315,35,2211.05,35,2225.0,54536.65
